1 0 11825332 1 1 9
1 0 11825333 1 1 9
2 0 11825341 2 1 9
2 6 11825342 2 1 9
2 2 11825343 2 1 9
1 0 11825431 1 1 9
1 0 11825432 1 1 9
1 0 11825433 1 1 9
2 0 11825441 2 1 9
2 0 11825442 2 1 9
2 6 11825443 2 1 9
1 1 11925531 1 1 10
1 0 11925532 1 1 10
1 0 11925533 1 1 10
2 0 11925541 2 1 10
2 0 11925542 2 1 10
2 2 11925543 2 1 10
1 1 11925631 1 1 10
1 4 11925632 1 1 10
1 1 11925633 1 1 10
2 0 11925641 2 1 10
2 1 11925642 2 1 10
2 0 11925643 2 1 10
1 0 11925731 1 1 10
1 5 11925732 1 1 10
1 8 11925733 1 1 10
2 2 11925741 2 1 10
2 0 11925742 2 1 10
2 0 11925743 2 1 10
1 0 12025832 1 1 10
1 0 12025833 1 1 10
2 1 12025841 2 1 10
2 5 12025842 2 1 10
2 0 12025843 2 1 10
1 5 12025931 1 1 10
1 3 12025932 1 1 10
1 2 12025933 1 1 10
2 0 12025941 2 1 10
2 0 12025943 2 1 10
1 2 12026031 1 1 10
1 0 12026032 1 1 10
1 0 12026033 1 1 10
2 0 12026041 2 1 10
2 2 12026042 2 1 10
2 0 12026043 2 1 10
1 0 12126131 1 1 10
1 1 12126132 1 1 10
1 0 12126133 1 1 10
2 0 12126141 2 1 10
2 0 12126142 2 1 10
2 0 12126143 2 1 10
1 0 12126232 1 1 10
1 7 12126233 1 1 10
2 0 12126241 2 1 10
2 0 12126242 2 1 10
2 0 12126243 2 1 10
1 0 12126331 1 1 11
1 2 12126332 1 1 11
1 0 12126333 1 1 11
2 2 12126341 2 1 11
2 2 12126342 2 1 11
2 2 12126343 2 1 11
1 0 12226431 1 1 11
1 3 12226432 1 1 11
1 3 12226433 1 1 11
2 0 12226441 2 1 11
2 1 12226442 2 1 11
1 1 12226531 1 1 11
1 0 12226533 1 1 11
2 0 12226541 2 1 11
2 0 12226542 2 1 11
2 0 12226543 2 1 11
1 0 12226631 1 1 11
1 1 12226632 1 1 11
1 0 12226633 1 1 11
2 0 12226641 2 1 11
2 2 12226642 2 1 11
2 0 12226643 2 1 11
1 9 122431 1 1 3
1 2 122432 1 1 3
1 8 122433 1 1 3
2 1 122441 2 1 3
2 0 122442 2 1 3
1 1 122531 1 1 3
1 0 122532 1 1 3
1 5 122533 1 1 3
2 0 122541 2 1 3
2 1 122543 2 1 3
1 1 122631 1 1 3
1 2 122632 1 1 3
1 4 122633 1 1 3
2 0 122641 2 1 3
2 1 122642 2 1 3
2 1 122643 2 1 3
1 0 12326731 1 1 11
1 3 12326732 1 1 11
1 1 12326733 1 1 11
2 0 12326743 2 1 11
1 0 12326832 1 1 11
1 1 12326833 1 1 11
2 1 12326841 2 1 11
2 0 12326842 2 1 11
2 1 12326843 2 1 11
1 7 12326931 1 1 11
1 0 12326932 1 1 11
1 2 12326933 1 1 11
2 1 12326941 2 1 11
2 5 12326942 2 1 11
2 1 12326943 2 1 11
1 1 12427031 1 1 11
1 7 12427032 1 1 11
1 2 12427033 1 1 11
2 0 12427042 2 1 11
2 0 12427043 2 1 11
2 4 12427141 2 1 12
2 3 12427142 2 1 12
1 5 12427231 1 1 12
1 2 12427232 1 1 12
1 4 12427233 1 1 12
2 0 12427241 2 1 12
2 0 12427242 2 1 12
2 2 12427243 2 1 12
1 0 12527331 1 1 12
1 1 12527332 1 1 12
1 0 12527333 1 1 12
2 0 12527341 2 1 12
2 5 12527342 2 1 12
2 0 12527343 2 1 12
1 2 12527431 1 1 12
1 2 12527432 1 1 12
1 0 12527433 1 1 12
