",""traitmDR:traitmDR.animal"",""traitfDR:traitmDR.animal"",""traitmDR:traitfDR.animal"",""traitfDR:traitfDR.animal"",""traitmDR:traitmDR.round.sec"",""traitfDR:traitmDR.round.sec"",""traitmDR:traitfDR.round.sec"",""traitfDR:traitfDR.round.sec"",""traitmDR.units"",""traitfDR.units"""
35,0.0037340008390595,-0.0033666183625205,-0.0033666183625205,0.0193132225813393,0.00286752991502098,-0.000274727671913721,-0.000274727671913721,0.0145348801652577,3.19464684162535,23.8007864082865
36,0.0159993573334188,-0.0243730336248351,-0.0243730336248351,0.0280565146452901,0.0113783882609374,-6.34560371440829e-05,-6.34560371440829e-05,0.00632868142634893,3.26096974043592,23.9729276407202
37,0.00922943409562198,-0.00173315114827799,-0.00173315114827799,0.0105149470387775,0.00326502368282894,-0.00123475372334664,-0.00123475372334664,0.00640158300592197,3.19810807803412,25.173914978613
38,0.00765410702023869,-0.000347720057101153,-0.000347720057101153,0.0145485065906767,0.00272411579722776,-0.00196671615205291,-0.00196671615205291,0.0155596988247031,3.09702435549652,24.6935271802731
39,0.00437923368245726,0.00223134878944353,0.00223134878944353,0.0096335187416093,0.00538175919400463,0.000720032417145189,0.000720032417145189,0.00440310338778908,3.11414469427179,26.3068775778199
40,0.00566333423819277,0.000252981645164407,0.000252981645164407,0.00807018130807723,0.00333047157801153,0.000488076387874903,0.000488076387874903,0.00975989395667191,3.23697455676422,25.7589086369523
41,0.00907349847046881,0.00136406377173959,0.00136406377173959,0.0229457112522568,0.00188082170185113,-0.00380189388877206,-0.00380189388877206,0.0109295324587243,3.32413217633881,24.606758377619
42,0.00345924874670967,-0.00603815177346112,-0.00603815177346112,0.0701834770437077,0.00316740360551236,0.000240462673503639,0.000240462673503639,0.00641659097951709,3.33912974811382,23.7932533568781
43,0.00418012301374632,-0.00310573692713201,-0.00310573692713201,0.0328293265833022,0.00266675382490872,0.00185384589883666,0.00185384589883666,0.0101538745274089,3.17322569990866,25.0727137122715
44,0.00619163471910902,0.0148819703913421,0.0148819703913421,0.0279606049591271,0.00375766029797704,-0.00228325394790777,-0.00228325394790777,0.00454434393064616,3.11646602234282,24.2001012911713
45,0.011866351305525,-0.00295856366575131,-0.00295856366575131,0.0143671006377834,0.0018760594587504,0.00112359117045344,0.00112359117045344,0.010898434460608,3.25199767861689,24.173445910878
46,0.0111763231275965,-0.0190311364978732,-0.0190311364978732,0.0217393884127834,0.00892663916930082,-0.000702367363052681,-0.000702367363052681,0.00386426856469707,3.0527192461083,24.6889264027058
47,0.01047158112522,-0.00202281565725271,-0.00202281565725271,0.0147420909772645,0.00170726478798504,-2.91564942540568e-05,-2.91564942540568e-05,0.00662105921066619,3.03198634724703,25.0654385793897
48,0.00295207354480689,-0.000374632203297365,-0.000374632203297365,0.0480031563879631,0.00359062351877615,-0.00344803100505747,-0.00344803100505747,0.00899593786114303,3.42969980979381,24.6630297293315
49,0.0037237449269292,-0.00534779131465013,-0.00534779131465013,0.0254112075197829,0.00437404371801005,0.00742264468946324,0.00742264468946324,0.0196636441975775,3.05407699793041,25.6182576676423
50,0.0043134858794642,-0.0017525532395315,-0.0017525532395315,0.00750110003224909,0.00137545022768254,0.000971576486583831,0.000971576486583831,0.00397675326340891,3.11218441359208,26.3297458020306
51,0.00621035207862959,-0.0088227272961765,-0.0088227272961765,0.0170395014040847,0.0017949383522412,-0.00257917554104009,-0.00257917554104009,0.00350855079206844,3.16819569551255,24.9216425084643
52,0.00423727862625538,-0.000937041390217996,-0.000937041390217996,0.00920302669440166,0.00297773474027471,-0.00215208526195446,-0.00215208526195446,0.0082011535280998,3.1761327595501,26.9934527417056
